user,algo,precision,recall,f1
user09,decision_tree,0.7142857142857143,0.5,0.588235294117647
user10,decision_tree,0.5416666666666666,1.0,0.7027027027027027
user11,decision_tree,0.36363636363636365,0.26666666666666666,0.30769230769230765
user12,decision_tree,0.6,0.4,0.48
user13,decision_tree,0.6923076923076923,0.9,0.7826086956521738
user14,decision_tree,0.9166666666666666,0.7333333333333333,0.8148148148148148
user16,decision_tree,0.6875,0.7333333333333333,0.7096774193548386
user17,decision_tree,0.3333333333333333,0.3333333333333333,0.3333333333333333
user18,decision_tree,0.5833333333333334,0.7,0.6363636363636365
user19,decision_tree,0.6470588235294118,0.7333333333333333,0.6875
user21,decision_tree,0.75,1.0,0.8571428571428571
user22,decision_tree,0.5,0.8666666666666667,0.6341463414634146
user23,decision_tree,0.6363636363636364,0.4666666666666667,0.5384615384615385
user24,decision_tree,0.9333333333333333,0.9333333333333333,0.9333333333333333
user25,decision_tree,1.0,0.4,0.5714285714285715
user26,decision_tree,0.7142857142857143,0.6666666666666666,0.689655172413793
user27,decision_tree,0.9,0.6,0.7200000000000001
user28,decision_tree,0.5652173913043478,0.8666666666666667,0.6842105263157895
user29,decision_tree,0.6363636363636364,0.4666666666666667,0.5384615384615385
user30,decision_tree,0.6363636363636364,0.4666666666666667,0.5384615384615385
user31,decision_tree,0.7142857142857143,0.3333333333333333,0.4545454545454545
user32,decision_tree,0.3333333333333333,0.23076923076923078,0.27272727272727276
user33,decision_tree,0.5333333333333333,0.5333333333333333,0.5333333333333333
user34,decision_tree,0.5,0.4666666666666667,0.4827586206896552
user36,decision_tree,0.4,0.13333333333333333,0.2
user37,decision_tree,0.5,0.7333333333333333,0.5945945945945945
user38,decision_tree,0.6875,0.7333333333333333,0.7096774193548386
user39,decision_tree,0.8125,0.8666666666666667,0.8387096774193549
user40,decision_tree,0.6875,0.7333333333333333,0.7096774193548386
user41,decision_tree,0.4,0.4,0.4000000000000001
user09,neural-net,0.7272727272727273,0.8,0.761904761904762
user10,neural-net,0.4230769230769231,0.8461538461538461,0.5641025641025641
user11,neural-net,0.4375,0.4666666666666667,0.45161290322580644
user12,neural-net,0.6666666666666666,0.8,0.7272727272727272
user13,neural-net,0.6153846153846154,0.8,0.6956521739130435
user14,neural-net,0.6875,0.7333333333333333,0.7096774193548386
user16,neural-net,0.55,0.7333333333333333,0.6285714285714286
user17,neural-net,0.5416666666666666,0.8666666666666667,0.6666666666666667
user18,neural-net,0.5,0.8,0.6153846153846154
user19,neural-net,0.625,1.0,0.7692307692307693
user21,neural-net,0.6666666666666666,0.6666666666666666,0.6666666666666666
user22,neural-net,0.5555555555555556,1.0,0.7142857142857143
user23,neural-net,0.5625,0.6,0.5806451612903225
user24,neural-net,0.7222222222222222,0.8666666666666667,0.7878787878787877
user25,neural-net,1.0,0.8,0.888888888888889
user26,neural-net,0.7333333333333333,0.7333333333333333,0.7333333333333333
user27,neural-net,0.45454545454545453,0.3333333333333333,0.3846153846153846
user28,neural-net,0.6,1.0,0.7499999999999999
user29,neural-net,0.5238095238095238,0.7333333333333333,0.611111111111111
user30,neural-net,0.6875,0.7333333333333333,0.7096774193548386
user31,neural-net,0.6923076923076923,0.6,0.6428571428571429
user32,neural-net,0.5714285714285714,0.6153846153846154,0.5925925925925927
user33,neural-net,0.75,0.8,0.7741935483870969
user34,neural-net,0.6153846153846154,0.5333333333333333,0.5714285714285715
user36,neural-net,0.5833333333333334,0.4666666666666667,0.5185185185185186
user37,neural-net,0.35294117647058826,0.4,0.37500000000000006
user38,neural-net,0.5652173913043478,0.8666666666666667,0.6842105263157895
user39,neural-net,0.7857142857142857,0.7333333333333333,0.7586206896551724
user40,neural-net,0.65,0.8666666666666667,0.7428571428571429
user41,neural-net,0.47058823529411764,0.5333333333333333,0.5
user09,svm,0.5454545454545454,0.6,0.5714285714285713
user10,svm,0.44,0.8461538461538461,0.5789473684210525
user11,svm,0.75,0.4,0.5217391304347827
user12,svm,0.75,0.8,0.7741935483870969
user13,svm,0.6923076923076923,0.9,0.7826086956521738
user14,svm,0.6666666666666666,0.6666666666666666,0.6666666666666666
user16,svm,0.631578947368421,0.8,0.7058823529411765
user17,svm,0.38095238095238093,0.5333333333333333,0.4444444444444444
user18,svm,0.5,0.6,0.5454545454545454
user19,svm,0.6666666666666666,0.9333333333333333,0.7777777777777778
user21,svm,0.5,1.0,0.6666666666666666
user22,svm,0.5357142857142857,1.0,0.6976744186046512
user23,svm,0.6428571428571429,0.6,0.6206896551724138
user24,svm,0.8235294117647058,0.9333333333333333,0.8749999999999999
user25,svm,1.0,0.6666666666666666,0.8
user26,svm,0.75,0.4,0.5217391304347827
user27,svm,0.4,0.13333333333333333,0.2
user28,svm,0.5,0.6666666666666666,0.5714285714285715
user29,svm,0.4,0.26666666666666666,0.32
user30,svm,0.75,0.8,0.7741935483870969
user31,svm,0.3333333333333333,0.13333333333333333,0.19047619047619044
user32,svm,0.4444444444444444,0.3076923076923077,0.3636363636363637
user33,svm,0.6666666666666666,0.6666666666666666,0.6666666666666666
user34,svm,0.7857142857142857,0.7333333333333333,0.7586206896551724
user36,svm,0.5555555555555556,0.6666666666666666,0.606060606060606
user37,svm,0.3333333333333333,0.2,0.25
user38,svm,0.5454545454545454,0.8,0.6486486486486486
user39,svm,0.875,0.4666666666666667,0.608695652173913
user40,svm,0.5652173913043478,0.8666666666666667,0.6842105263157895
user41,svm,0.6,0.8,0.6857142857142857
